Smoothed ATR airfoil coordinates obtained  using
   0.3107605E-01 -0.2678367E-01
   0.3374968E-01 -0.2757254E-01
   0.3661323E-01 -0.2834908E-01
   0.3967959E-01 -0.2911223E-01
   0.4296101E-01 -0.2986186E-01
   0.4646836E-01 -0.3059937E-01
   0.5021177E-01 -0.3132859E-01
   0.5420184E-01 -0.3205615E-01
   0.5845667E-01 -0.3278381E-01
   0.6299754E-01 -0.3350854E-01
   0.6784487E-01 -0.3422669E-01
   0.7301552E-01 -0.3493397E-01
   0.7852212E-01 -0.3562587E-01
   0.8437230E-01 -0.3629815E-01
   0.9056894E-01 -0.3694750E-01
   0.9711406E-01 -0.3757210E-01
   0.1040049     -0.3816919E-01
   0.1112297     -0.3873598E-01
   0.1187674     -0.3927096E-01
   0.1265900     -0.3977453E-01
   0.1346667     -0.4024916E-01
   0.1429693     -0.4069622E-01
   0.1514706     -0.4111571E-01
   0.1601436     -0.4150864E-01
   0.1689635     -0.4187654E-01
   0.1779070     -0.4222094E-01
   0.1869538     -0.4254396E-01
   0.1960869     -0.4284783E-01
   0.2052900     -0.4313471E-01
   0.2145456     -0.4340699E-01
   0.2238364     -0.4366669E-01
   0.2331457     -0.4391329E-01
   0.2424606     -0.4414564E-01
   0.2517715     -0.4436271E-01
   0.2610714     -0.4456288E-01
   0.2703557     -0.4474411E-01
   0.2796209     -0.4490441E-01
   0.2888644     -0.4504171E-01
   0.2980841     -0.4515400E-01
   0.3072791     -0.4523898E-01
   0.3164518     -0.4529429E-01
   0.3256078     -0.4531762E-01
   0.3347552     -0.4530777E-01
   0.3439025     -0.4526461E-01
   0.3530571     -0.4518808E-01
   0.3622263     -0.4507935E-01
   0.3714158     -0.4494015E-01
   0.3806302     -0.4477218E-01
   0.3898727     -0.4457758E-01
   0.3991446     -0.4435891E-01
   0.4084450     -0.4411883E-01
   0.4177705     -0.4385969E-01
   0.4271176     -0.4358324E-01
   0.4364828     -0.4329121E-01
   0.4458622     -0.4298513E-01
   0.4552503     -0.4266603E-01
   0.4646384     -0.4233497E-01
   0.4740172     -0.4199144E-01
   0.4833818     -0.4163311E-01
   0.4927343     -0.4125746E-01
   0.5020802     -0.4086337E-01
   0.5114241     -0.4045088E-01
   0.5207676     -0.4002031E-01
   0.5301105     -0.3957255E-01
   0.5394508     -0.3910865E-01
   0.5487848     -0.3862898E-01
   0.5581072     -0.3813357E-01
   0.5674129     -0.3762063E-01
   0.5767007     -0.3708706E-01
   0.5859752     -0.3653032E-01
   0.5952450     -0.3594854E-01
   0.6045229     -0.3534013E-01
   0.6138213     -0.3470660E-01
   0.6231453     -0.3405099E-01
   0.6324919     -0.3337653E-01
   0.6418563     -0.3268456E-01
   0.6512408     -0.3197534E-01
   0.6606538     -0.3124942E-01
   0.6701025     -0.3050997E-01
   0.6795849     -0.2976124E-01
   0.6890904     -0.2900816E-01
   0.6986033     -0.2825461E-01
   0.7081127     -0.2750332E-01
   0.7176142     -0.2675644E-01
   0.7271082     -0.2601369E-01
   0.7365932     -0.2527218E-01
   0.7460635     -0.2452916E-01
   0.7555095     -0.2378231E-01
   0.7649224     -0.2302949E-01
   0.7742957     -0.2226843E-01
   0.7836257     -0.2149578E-01
   0.7929128     -0.2070721E-01
   0.8021623     -0.1989822E-01
   0.8113822     -0.1906588E-01
   0.8205814     -0.1820831E-01
   0.8297688     -0.1732359E-01
   0.8389524     -0.1641111E-01
   0.8481373     -0.1547218E-01
   0.8573251     -0.1450858E-01
   0.8665128     -0.1352263E-01
   0.8756957     -0.1251708E-01
   0.8848675     -0.1149488E-01
   0.8940196     -0.1045999E-01
   0.9031347     -0.9420261E-02
   0.9121802     -0.8385971E-02
   0.9211099     -0.7368735E-02
   0.9298713     -0.6380702E-02
   0.9384191     -0.5432674E-02
   0.9467179     -0.4533143E-02
   0.9547408     -0.3690142E-02
   0.9624556     -0.2915695E-02
   0.9698218     -0.2220360E-02
   0.9768031     -0.1610569E-02
   0.9833761     -0.1087756E-02
   0.9895371     -0.6454582E-03
   0.9953008     -0.2734544E-03
    1.000000       0.000000    
