    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D  
      5.50   0.935048   0.120505   0.037629   0.026737   0.000000   0.806281  -0.000000  -0.000000   7.759417
      5.75   0.962285   0.123293   0.040237   0.026918   0.000000   0.832247   0.000000  -0.000000   7.804832
      6.00   0.989490   0.126171   0.042913   0.027120   0.000000   0.858154   0.000000  -0.000000   7.842469
      6.25   1.016664   0.129138   0.045657   0.027343   0.000000   0.884011   0.000000  -0.000000   7.872682
      6.50   1.043786   0.132192   0.048466   0.027588   0.000000   0.909809   0.000000  -0.000000   7.895960
      6.75   1.070933   0.135332   0.051350   0.027843   0.000000   0.935593   0.000000  -0.000000   7.913399
      7.00   1.098060   0.138555   0.054303   0.028113   0.000000   0.961328  -0.000000   0.000000   7.925080
      7.25   1.125167   0.141866   0.057326   0.028402   0.000000   0.987021  -0.000000  -0.000000   7.931169
      7.50   1.152249   0.145279   0.060419   0.028722   0.000000   1.012681   0.000000  -0.000000   7.931263
      7.75   1.179176   0.148765   0.063562   0.029064   0.000000   1.038160   0.000000  -0.000000   7.926409
      8.00   1.206005   0.152330   0.066763   0.029429   0.000000   1.063525  -0.000000  -0.000000   7.917036
      8.25   1.232555   0.155972   0.069997   0.029836   0.000000   1.088625  -0.000000   0.000000   7.902393
      8.50   1.258970   0.159696   0.073278   0.030279   0.000000   1.113596   0.000000   0.000000   7.883526
      8.75   1.284952   0.163482   0.076560   0.030784   0.000000   1.138188   0.000000  -0.000000   7.859916
      9.00   1.310737   0.167326   0.079867   0.031320   0.000000   1.162592   0.000000  -0.000000   7.833432
      9.25   1.336141   0.171227   0.083177   0.031911   0.000000   1.186656  -0.000000   0.000000   7.803353
      9.50   1.361243   0.175213   0.086514   0.032560   0.000000   1.210421   0.000000  -0.000000   7.769093
      9.75   1.386087   0.179271   0.089878   0.033254   0.000000   1.233943  -0.000000  -0.000000   7.731789
     10.00   1.410526   0.183375   0.093235   0.034001   0.000000   1.257107   0.000000  -0.000000   7.692013
     10.25   1.434836   0.187538   0.096622   0.034777   0.000000   1.280129   0.000000   0.000000   7.650923
     10.50   1.458994   0.191767   0.100047   0.035582   0.000000   1.302997   0.000000  -0.000000   7.608165
     10.75   1.483011   0.196040   0.103495   0.036407   0.000000   1.325722   0.000000  -0.000000   7.564822
     11.00   1.506685   0.200343   0.106927   0.037277   0.000000   1.348135  -0.000000  -0.000000   7.520533
     11.25   1.529954   0.204669   0.110360   0.038170   0.000000   1.370198   0.000000  -0.000000   7.475265
     11.50   1.552916   0.209018   0.113791   0.039089   0.000000   1.391983   0.000000  -0.000000   7.429567
     11.75   1.575526   0.213375   0.117184   0.040052   0.000000   1.413418  -0.000000  -0.000000   7.383846
     12.00   1.598390   0.217837   0.120654   0.041044   0.000000   1.434987   0.000000  -0.000000   7.337552
     12.25   1.621425   0.222378   0.124205   0.042034   0.000000   1.456649   0.000000  -0.000000   7.291313
